,,,,,,,,,,,,,,,,,,,,,,,
Template ID,Meta Template Name,Library,Message Name,Category,Treatment,Objection,Trigger,Day,Header Type,Header Text,Meta Approved Body,CTA Type,CTA Value,Media Type,Media Asset ID,Variable Mapping,Objective,AI Personalization Inputs,AI Writing Rules,Workflow Exit Condition,Internal Notes,Meta Templates,Meta Mapping
UTL-L1-01,utl_l1_missed_call_callback_v1,Library 1,Missed Call Apology & Callback,Utility,General,,Missed Call,0,Image,,"Thank you for reaching out to {{1}}. 

We are sorry that we couldn't connect with you when you called us a little while ago. 

If you are still looking for help with your dental concern, simply reply to this message or call us on {{3}}, whichever is more convenient for you. 

We are here whenever you need us, and we will be happy to assist you.

Team {{1}}
Dr. {{2}}",Phone,{{3}},Image,IMG-01,{{1}} = Clinic Name{{2}} = Reception Number{{3}} = Doctor Name,Recover the missed inquiry while making the patient feel acknowledged and valued.,"Clinic Name, Reception Number, Doctor Name","Fixed wording. Keep warm, premium and conversational. No sales language. Do not modify sentence structure.",Stop if patient replies or appointment is booked.,Send 30 seconds after the missed call. First touchpoint in workflow.,"Thank you for reaching out to {{1}}. 

We are sorry that we couldn't connect with you when you called us a little while ago. 

If you are still looking for help with your dental concern, simply reply to this message or call us on {{2}}, whichever is more convenient for you. 

We are here whenever you need us, and we will be happy to assist you.

Team {{3}}
Dr. {{4}}","[1,3,1,2]"
MKT-L1-02,mkt_l1_clinic_credibility_v1,Library 1,Clinic & Doctor Credibility,Marketing,General,,Missed Call – No Response,Day 1,Image,,"Thank you once again for reaching out to {{1}}.

Choosing a dental clinic is an important decision, and we believe every patient deserves honest advice and treatment that is genuinely needed.

That's why every advise at {{1}} is made with your long term oral health in mind, supported by experienced doctors, modern technology and the trust of many happy patients.

There's no pressure. Our role is simply to help you make the right decision for your oral health.

Team {{1}}
Dr. {{2}}",None,Blank,Image,IMG-02,{{1}} = Clinic Name{{2}} = Doctor Name,Build trust and reduce uncertainty before asking the patient to reconnect.,"Clinic Name, Doctor Name","Fixed wording. Never exaggerate claims. Maintain a reassuring, confidence-building tone.",Stop if patient replies or appointment is booked.,Send only if there is no reply or any conversation after Message 1.,"Thank you once again for reaching out to {{1}}.

Choosing a dental clinic is an important decision, and we believe every patient deserves honest advice and treatment that is genuinely needed.

That's why every advise at {{2}} is made with your long term oral health in mind, supported by experienced doctors, modern technology and the trust of many happy patients.

There's no pressure. Our role is simply to help you make the right decision for your oral health.

Team {{3}}
Dr. {{4}}","[1,1,1,2]"
MKT-L1-03,mkt_l1_gentle_followup_v1,Library 1,Gentle Follow-up,Marketing,General,,No Response,Day 3,None,,"Since you had reached out to us recently, we just wanted to check if your dental concern still needs attention.

If you have any questions or would simply like to understand your options better, we would be glad to help.You can call us on {{3}} whenever it's convenient for you.

Take your time, our role is simply to help you make an informed decision for your oral health.

Team {{1}}
Dr. {{2}}",Phone,{{3}},Text,NA,{{1}} = Clinic Name{{2}} = Reception Number{{3}} = Doctor Name,Reopen the conversation respectfully without creating pressure.,"Clinic Name, Reception Number, Doctor Name","Fixed wording. Keep empathetic. Avoid fear, urgency or aggressive follow-up language.",Stop if patient replies or appointment is booked.,Send only if there is no reply and no appointment booking after Message 2.,"Since you had reached out to us recently, we just wanted to check if your dental concern still needs attention.

If you have any questions or would simply like to understand your options better, we would be glad to help.You can call us on {{1}} whenever it's convenient for you.

Take your time, our role is simply to help you make an informed decision for your oral health.

Team {{2}}
Dr. {{3}}","[3,1,2]"
MKT-L1-04,mkt_l1_final_followup_v1,Library 1,Final Opportunity to Connect,Marketing,General,,No Response,Day 6,Video,,"We thought we would check in one last time regarding your enquiry with {{1}}.

If your dental concern is still bothering you, we would be happy to help you understand the right treatment options whenever you're ready. You can simply reply to this message or call us on {{2}}.

Whether you choose us or not, we hope you don't ignore your oral health. Wishing you good oral health.

Team {{1}}
Dr. {{2}}",Phone,{{3}},Video,VID-01,{{1}} = Clinic Name{{2}} = Reception Number{{3}} = Doctor Name,Respectfully conclude the follow-up journey while leaving a positive brand impression.,"Clinic Name, Reception Number, Doctor Name","Fixed wording. Warm, respectful and confidence-building. Never sound desperate or sales-oriented.",End workflow if there is still no response.,Final follow-up. No further messages from Library 1 after this.,"We thought we would check in one last time regarding your enquiry with {{1}}.

If your dental concern is still bothering you, we would be happy to help you understand the right treatment options whenever you're ready. You can simply reply to this message or call us on {{2}}.

Whether you choose us or not, we hope you don't ignore your oral health. Wishing you good oral health.

Team {{3}}
Dr. {{4}}","[1,2,1,2]"
MKT-L2-01,mkt_l2_thank_you_after_call_v1,Library 2,Thank You for Speaking with Our Team,Utility,General,,Call Completed – No Appointment,0,None,,"Every treatment begins with understanding your concern.

Hi {{4}},

Thank you for speaking with our team today about {{6}}.

We hope your initial questions were answered. If anything else comes to mind, reply to this message, we will be happy to help.

We are here whenever you need us.

Team {{1}}
Dr. {{2}}",None,Blank,Text,NA,{{1}} = Clinic Name{{2}} = Doctor Name{{6}} = Dental Concern,Appreciate the enquiry and keep the conversation open.,"Clinic Name, Doctor Name, Dental Concern","Fixed wording. Warm, appreciative and conversational. No CTA.",Stop if appointment is booked. Continue only if no booking.,Send immediately after the receptionist call ends.,"Every treatment begins with understanding your concern.

Hi {{1}},

Thank you for speaking with our team today about {{2}}.

We hope your initial questions were answered. If anything else comes to mind, reply to this message, we will be happy to help.

We are here whenever you need us.

Team {{3}}
Dr. {{4}}","[4,6,1,2]"
MKT-L2-02,mkt_l2_clinic_doctor_intro_v1,Library 2,Clinic & Doctor Introduction,Marketing,Dynamic ({{5}}),,No Appointment After Call,Day 1,Image,,"The right advice is just as important as the right treatment.

Hi {{4}},

We understand your concern about {{6}}.

At {{1}}, every recommendation for {{5}} is made only when it's genuinely needed, using modern technology and a patient-first approach.

Call us on {{3}} if you would like to discuss your concern further. 

The right decision begins with the right understanding.

Team {{1}}
Dr. {{2}}",Phone,{{3}},Image,IMG-02,{{1}} = Clinic Name{{2}} = Doctor Name{{3}} = Reception Number{{5}} = Treatment Name{{6}} = Dental Concern,Build confidence in the clinic and doctor.,"Clinic Name, Doctor Name, Reception Number, Treatment, Dental Concern",Keep reassuring. Never exaggerate claims or compare with competitors.,Stop if patient replies or appointment is booked.,Uses the same credibility image as Library 1.,"The right advice is just as important as the right treatment.

Hi {{1}},

We understand your concern about {{2}}.

At {{3}}, every recommendation for {{4}} is made only when it's genuinely needed, using modern technology and a patient-first approach.

Call us on {{5}} if you would like to discuss your concern further. 

The right decision begins with the right understanding.

Team {{6}}
Dr. {{7}}","[4,6,1,5,3,1,2]"
MKT-L2-03,mkt_l2_treatment_intro_v1,Library 2,Treatment Introduction,Marketing,Dynamic ({{5}}),,No Appointment After Message 2,Day 3,Image,,"The more you understand your treatment, the more confident you'll feel.

Hi {{4}},

Based on what you shared about {{6}}, {{5}} may be one of the suitable treatment options.

We've attached a simple overview explaining what it is, how it helps and why timely care matters.

Call us on {{3}} if you'd like to know more.

Take your time, we arre here to answer your questions.

Team {{1}}
Dr. {{2}}",Phone,{{3}},Image,Dynamic (Treatment Image),{{1}} = Clinic Name{{2}} = Doctor Name{{3}} = Reception Number{{5}} = Treatment Name{{6}} = Dental Concern,Educate the patient about the suggested treatment.,"Clinic Name, Doctor Name, Reception Number, Treatment, Dental Concern","Keep educational. Avoid creating fear. Introduce treatment as a possible recommendation, not a confirmed diagnosis.",Stop if patient replies or appointment is booked.,Uses one of the six treatment overview images.,"The more you understand your treatment, the more confident you'll feel.

Hi {{1}},

Based on what you shared about {{2}}, {{3}} may be one of the suitable treatment options.

We've attached a simple overview explaining what it is, how it helps and why timely care matters.

Call us on {{4}} if you'd like to know more.

Take your time, we arre here to answer your questions.

Team {{5}}
Dr. {{6}}","[4,6,5,3,1,2]"
MKT-L2-04,mkt_l2_consultation_encouragement_v1,Library 2,Consultation Encouragement,Marketing,Dynamic ({{5}}),,No Appointment After Message 3,Day 6,Video,,"A consultation isn't about starting treatment, it's about getting clarity.

Hi {{4}},

If {{6}} is still bothering you, we'd be happy to answer your questions and help you understand whether {{5}} is the right option.

Reply to this message or call us on {{3}} whenever you're ready.

Our goal is to help you decide with confidence.

Team {{1}}
Dr. {{2}}",Phone,{{3}},Video,VID-01,{{1}} = Clinic Name{{2}} = Doctor Name{{3}} = Reception Number{{5}} = Treatment Name{{6}} = Dental Concern,Encourage consultation without creating pressure.,"Clinic Name, Doctor Name, Reception Number, Treatment, Dental Concern","Warm, confidence-building and non-pushy. Focus on clarity, not selling treatment.",End Library 2 workflow if there is still no response.,Uses the same clinic video as Library 1.,"A consultation isn't about starting treatment, it's about getting clarity.

Hi {{1}},

If {{2}} is still bothering you, we'd be happy to answer your questions and help you understand whether {{3}} is the right option.

Reply to this message or call us on {{4}} whenever you're ready.

Our goal is to help you decide with confidence.

Team {{5}}
Dr. {{6}}","[4,6,5,3,1,2]"
MKT-L3-01,mkt_l3_appointment_confirmation_v1,Library 3,Appointment Confirmation,Utility,General,,Appointment Booked,Immediately,None,,"Your appointment is confirmed. We look forward to meeting you.

Hi {{4}},

Your appointment with Dr. {{2}} has been scheduled for {{10}} at {{11}}.

📍 {{1}}
Directions: {{16}}

If you need any assistance before your visit, please call us on {{3}}.

We are looking forward to welcoming you.

Team {{1}}",Phone,{{3}},Text,NA,{{1}} = Clinic Name{{2}} = Doctor Name{{3}} = Reception Number{{4}} = Patient Name{{10}} = Appointment Date{{11}} = Appointment Time{{16}} = Google Maps Link,Confirm appointment and provide complete visit details.,"Clinic Name, Doctor Name, Reception Number, Patient Name, Appointment Date, Appointment Time, Google Maps Link","Friendly, reassuring and operational. No promotional language.",Stop if appointment is cancelled or rescheduled.,Send immediately after appointment confirmation.,"Your appointment is confirmed. We look forward to meeting you.

Hi {{1}},

Your appointment with Dr. {{2}} has been scheduled for {{3}} at {{4}}.

📍 {{5}}
Directions: {{6}}

If you need any assistance before your visit, please call us on {{7}}.

We are looking forward to welcoming you.

Team {{8}}","[4,2,10,11,1,16,3,1]"
UTL-L3-02,utl_l3_24hr_reminder_v1,Library 3,24-Hour Appointment Reminder,Utility,General,,24 Hours Before Appointment,-1 Day,None,,"Just a friendly reminder about your appointment tomorrow.

Hi {{4}},

We're looking forward to seeing you tomorrow ({{10}}) at {{11}}.

If you need help with directions or wish to reschedule, please call us on {{3}}.

Safe travels. We'll see you tomorrow.

Team {{1}}",Phone,{{3}},Text,NA,{{1}} = Clinic Name{{3}} = Reception Number{{4}} = Patient Name{{10}} = Appointment Date{{11}} = Appointment Time,Reduce no-shows and remind the patient of the appointment.,"Clinic Name, Reception Number, Patient Name, Appointment Date, Appointment Time","Keep concise, warm and reassuring.",Stop if appointment is cancelled or rescheduled.,Automatically send 24 hours before appointment.,"Just a friendly reminder about your appointment tomorrow.

Hi {{1}},

We're looking forward to seeing you tomorrow for appointment with Dr. ({{2}}) at {{3}}.

If you need help with directions or wish to reschedule, please call us on {{4}}.

Safe travels. We'll see you tomorrow.

Team {{5}}","[4,10,11,3,1]"
UTL-L3-03,utl_l3_6hr_reminder_v1,Library 3,6-Hour Appointment Reminder,Utility,General,,6 Hours Before Appointment,Same Day,None,,"We'll be seeing you in a few hours.

Hi {{4}},

This is a reminder that your appointment with Dr. {{2}} is today at {{11}}.

📍 {{1}}
Directions: {{16}}

If you need any assistance, feel free to call {{3}}.

We wish you a comfortable visit.

Team {{1}}",Phone,{{3}},Text,NA,{{1}} = Clinic Name{{2}} = Doctor Name{{3}} = Reception Number{{4}} = Patient Name{{11}} = Appointment Time{{16}} = Google Maps Link,Ensure the patient remembers the appointment and reaches the clinic easily.,"Clinic Name, Doctor Name, Reception Number, Patient Name, Appointment Time, Google Maps Link","Keep calm, welcoming and operational. Avoid promotional wording.",End Library 3 workflow after appointment time.,Automatically send 6 hours before the appointment.,"We'll be seeing you in a few hours.

Hi {{1}},

This is a reminder that your appointment with Dr. {{2}} is today at {{3}}.

📍 {{4}}
Directions: {{5}}

If you need any assistance, feel free to call {{6}}.

We wish you a comfortable visit.

Team {{7}}","[4,2,11,1,16,3,1]"
MKT-L4-01,mkt_l4_visit_summary_ready_v1,Library 4,Visit Summary Ready,Utility,Dynamic ({{5}}),,Consultation Completed,Immediately,None,Blank,"Your Visit Summary is Ready.

Hi {{4}},

Thank you for visiting {{1}} today.

We have prepared a personalised summary of today's discussion, including the recommended treatment and suggested next steps, so you can refer to it later or discuss it with your family.

Reply ""Yes"" to receive your Visit Summary.

Team {{1}}
Dr. {{2}}",Quick Reply,Yes,Text,NA,{{1}} = Clinic Name{{2}} = Doctor Name{{4}} = Patient Name,Obtain patient consent before sending the personalized Visit Summary.,"Clinic Name, Doctor Name, Patient Name",Fixed wording. No AI-generated clinical content. No diagnosis. No treatment explanation.,"Continue only if patient replies ""Yes"".",Opens a fresh 24-hour WhatsApp customer service window before sending the personalized summary.,"Your Visit Summary is Ready.

Hi {{1}},

Thank you for visiting {{2}} today.

We have prepared a personalised summary of today's discussion, including the recommended treatment and suggested next steps, so you can refer to it later or discuss it with your family.

Reply ""Yes"" to receive your Visit Summary.

Team {{3}}
Dr. {{4}}","[4,1,1,2]"
MKT-L4-02,mkt_l4_visit_summary_v1,Library 4,Personalized Visit Summary,Utility,Dynamic ({{5}}),,"Patient Replied ""Yes""",Immediate,Image,Blank,"Your Visit Summary

Hi {{4}},

Thank you for visiting {{1}} today.

Visit Highlights
{{7}}

Why This Treatment Was Recommended
{{8}}

Suggested Next Steps
{{9}}

This summary has been prepared to help you remember the key points discussed during today's visit. It is not a substitute for your complete clinical records or professional dental advice.

It's our pleasure to help you review this summary with your family before making any decision. If you have any questions, simply reply to this message.

The right decision begins with complete understanding.

Team {{1}}
Dr. {{2}}",None,Blank,Image,IMG-L4-{{5}},{{1}} = Clinic Name{{2}} = Doctor Name{{4}} = Patient Name{{7}} = Visit Highlights{{8}} = Doctor's Clinical Explanation & Why Treatment Recommended{{9}} = Treatment Plan,"Deliver a structured, patient-friendly recap of the visit that reinforces the doctor's recommendations without creating medico-legal risk.","Clinic Name, Doctor Name, Patient Name, Visit Highlights, Doctor's Clinical Explanation & Why Treatment Recommended, Treatment Plan","AI may only rewrite and organize information explicitly provided in the doctor's form. AI must never infer diagnoses, severity, prognosis, symptoms, risks, or new clinical findings. Maintain simple, patient-friendly language.",End Library 4 workflow after successful delivery.,Attach the treatment-specific Visit Summary image (6 variants). This is the only library where AI-generated variables are used. Follow the fixed AI safeguards.,"Your Visit Summary

Hi {{1}},

Thank you for visiting {{2}} today.

Visit Highlights
{{3}}

Why This Treatment Was Recommended
{{4}}

Suggested Next Steps
{{5}}

This summary has been prepared to help you remember the key points discussed during today's visit. It is not a substitute for your complete clinical records or professional dental advice.

It's our pleasure to help you review this summary with your family before making any decision. If you have any questions, simply reply to this message.

The right decision begins with complete understanding.

Team {{6}}
Dr. {{7}}","[4,1,7,8,9,1,2]"
MKT-L5-RCT-COST-01,mkt_l5_rct_cost_value_v1,Library 5,Value Before Price,Marketing,Root Canal Treatment,Cost,Primary Objection = Cost,Day 2,Image,Blank,"Is a Root Canal really worth the cost?

Hi {{4}},

It's completely natural to think carefully before making a financial decision about your treatment.

During your visit, Dr. {{2}} recommended a Root Canal Treatment to help save your natural tooth. Whenever possible, preserving a natural tooth is usually a healthier and simpler option than replacing it later.

The goal isn't just treating today's problem, but it's protecting your smile for the future.

Team {{1}}
Dr. {{2}}",None,Blank,Image,IMG-RCT-COST-01,"{{1}}, {{2}}, {{4}}",Shift the patient's mindset from treatment cost to the value of preserving their natural tooth.,"• Always mention patient name.• Mention ""Root Canal Treatment"" naturally.• Never justify pricing.• Never compare fees.• Never mention discounts, EMI or offers.• Keep tone empathetic and educational.",Image should visually compare saving a natural tooth vs replacing it later. No pricing or offers should appear in the creative.,,,"Is a Root Canal really worth the cost?

Hi {{1}},

It's completely natural to think carefully before making a financial decision about your treatment.

During your visit, Dr. {{2}} recommended a Root Canal Treatment to help save your natural tooth. Whenever possible, preserving a natural tooth is usually a healthier and simpler option than replacing it later.

The goal isn't just treating today's problem, but it's protecting your smile for the future.

Team {{3}}
Dr. {{4}}","[4,2,1,2]"
MKT-L5-RCT-COST-02,mkt_l5_rct_cost_affordability_v1,Library 5,Financial Flexibility,Marketing,Root Canal Treatment,Cost,No Response After Message 1,Day 5,Video,Blank,"""I know the Root Canal Treatment is important... I just wasn't prepared for this expense.""

Hi {{4}},

If this is how you're feeling, you're not alone. Many patients need a little time to plan for an unexpected dental expense, and that's completely understandable.

If finances are making the decision difficult, we would be happy to discuss the payment options available at {{1}}, so you can choose what feels comfortable for you.

Call us on {{3}} whenever you'd like to know more.

Our role is to help you find the option that's right for both your oral and financial health.

Team {{1}}
Dr. {{2}}",Phone,{{3}},Video,VID-RCT-MASTER-COST,"{{1}}, {{2}}, {{3}}, {{4}}",Normalize financial hesitation and gently introduce payment flexibility.,"• Always mention patient name.• Mention ""Root Canal Treatment"".• Never assume affordability is the only concern.• Introduce payment options only as supportive information.• Never use words like ""discount"", ""cheap"", ""limited offer"" or similar marketing language.",Use the Cost segment of the Root Canal master video. Video should explain payment flexibility without sounding like financing or sales.,,,"""I know the Root Canal Treatment is important... I just wasn't prepared for this expense.""

Hi {{1}},

If this is how you're feeling, you're not alone. Many patients need a little time to plan for an unexpected dental expense, and that's completely understandable.

If finances are making the decision difficult, we would be happy to discuss the payment options available at {{2}}, so you can choose what feels comfortable for you.

Call us on {{3}} whenever you'd like to know more.

Our role is to help you find the option that's right for both your oral and financial health.

Team {{4}}
Dr. {{5}}","[4,1,3,1,2]"
